epoch,train_loss,train_recon_loss,train_kl_loss,val_loss,val_recon_loss,val_kl_loss,lr,time_elapsed
1,33846264.50964543,0.128099124489741,33846264.38256527,169.9419957414458,0.08631544258398345,169.85568005525613,0.001,56.78510236740112
2,115.53003903273698,0.06794353966488616,115.46209540733925,60.40476888342749,0.043274474907902226,60.361494329911245,0.001,116.42488741874695
3,31.483324779913975,0.0291795330147699,31.45414517083011,5.637462984157514,0.012124860270208196,5.625338131868387,0.001,172.03299498558044
4,6.2665040876184195,0.0076157276724608475,6.258888344515811,3.334485355811783,0.004353118582946967,3.3301322399815425,0.001,227.84420895576477
5,2.457467623791852,0.002864167214803664,2.4546034650488213,0.8123113452633725,0.0017833089237867653,0.8105280369142943,0.001,283.7488203048706
6,1.302596047438763,0.0014157980307233059,1.301180246930856,0.5176656080197685,0.0010432550931184351,0.5166223562216457,0.001,339.23483324050903
7,0.9742988790948313,0.0009694611409821057,0.9733294191678147,1.1283726239506202,0.0009505340573083185,1.1274220898181577,0.001,395.03732347488403
8,0.5468128666609198,0.0007577385700782402,0.5460551275902397,0.8476992996433114,0.0006398236871950469,0.8470594747157036,0.001,450.9019510746002
9,0.45428188714188533,0.0005970997460011219,0.45368478854524563,0.30592282210724264,0.000550740894521115,0.3053720819799206,0.001,506.7458760738373
10,0.34891513387089246,0.0005057410769670521,0.3484093939660342,0.060276282126013235,0.00047307644412216223,0.05980320581341091,0.001,562.3730878829956
11,0.1903537507731836,0.0004368567317394811,0.18991689416733418,0.12482256895001931,0.00042673182446079306,0.1243958369463305,0.001,621.4668381214142
12,0.13894235710152886,0.00040482900270605,0.13853752829011654,0.06550221531828747,0.00038714772473454854,0.06511506702326521,0.001,677.2271950244904
13,0.07186476652418355,0.00037927975542945683,0.07148548699199007,0.02519157686848429,0.00037704849091824144,0.02481452833059468,0.001,732.8055834770203
14,0.03882859759083898,0.00037050578464334317,0.03845809179020452,0.056525683667086345,0.0003740477618463691,0.05615163632208788,0.001,788.3915095329285
15,0.015780325483589607,0.000367513165566469,0.015412812305430134,0.0013838913512734484,0.0003736455039905172,0.001010245843967305,0.001,843.7501339912415
16,0.022390424795778196,0.0003678484404540191,0.022022576357882757,0.0007568364719789522,0.0003696027295840786,0.00038723374092126196,0.001,899.1653702259064
17,0.00047479050540509836,0.00036631957046555835,0.00010847093557918465,0.05049615659857098,0.0003701740773792579,0.05012598242374915,0.001,954.6968448162079
18,0.033140335395888385,0.00036802078938018274,0.03277231473475695,0.0004757559818475024,0.00037097728968144076,0.00010477869382387476,0.001,1009.9391424655914
19,0.00042849375341365184,0.00036686927997724633,6.162447363629446e-05,0.002121281506540843,0.00036934426343923177,0.0017519372550747062,0.001,1065.218578338623
20,0.0005411229783251426,0.0003665264661182076,0.00017459651168722374,0.007511163896680633,0.0003699547286245595,0.007141209172108505,0.001,1121.052817583084
21,0.0032270781793868283,0.0003667731542229156,0.0028603050274426467,0.0004307302746544533,0.0003711067444403196,5.962353058253663e-05,0.001,1179.7040119171143
22,0.00037564202672341366,0.00036681084224415665,8.83118443927922e-06,0.0006047121022203112,0.00037135336587877497,0.00023335873892035665,0.001,1235.39932346344
23,0.0004496288310802301,0.00036699268629500684,8.263614458533433e-05,0.0006484515925197379,0.0003684156738616573,0.0002800359190264835,0.001,1290.5075538158417
24,0.10112598954283684,0.0003743000070044418,0.10075168944588238,0.0004232313301225629,0.0003701991818276458,5.303214811071565e-05,0.001,1346.5057940483093
25,0.0003695102434274024,0.00036696343454673046,2.546809040583097e-06,0.0003740948938419807,0.0003703113192547985,3.7835745871821535e-06,0.001,1401.8040583133698
26,0.0003681082304795452,0.0003668673608434811,1.2408696360640474e-06,0.0003723846783469537,0.0003698897005362389,2.4949778107148183e-06,0.001,1457.2957384586334
27,0.00036861181105960384,0.00036659724791316767,2.0145633063473545e-06,0.0003772177031673373,0.0003720314390780522,5.1862642734865596e-06,0.001,1512.929250717163
28,0.00037417303326867194,0.000366945253567742,7.2277795809965865e-06,0.000373979055439122,0.00037121604534921153,2.763010089910483e-06,0.001,1568.2704560756683
29,0.0003786402159456194,0.00036683922811349916,1.180098791207586e-05,0.00038533960634848407,0.0003707647385131686,1.4574868203718452e-05,0.001,1623.872522354126
30,0.0003830781768176546,0.0003668017081988612,1.627646877870455e-05,0.00037295278548587205,0.0003698548293581138,3.0979561277582677e-06,0.001,1679.1657638549805
31,0.00037566024404221243,0.00036680975748682755,8.850486355495977e-06,0.0003720046725799035,0.00036982617940005104,2.1784931798524496e-06,0.001,1738.6038262844086
32,0.2045091929829361,0.00037364420799409283,0.2041355492240125,0.00037693954367615,0.0003698396824721742,7.0998610197743284e-06,0.001,1795.3203558921814
33,0.00036769769564501246,0.000366605167353275,1.0925283716930138e-06,0.0003749019380871065,0.00037050927853612584,4.3926595509806764e-06,0.001,1852.2098135948181
34,0.0003675556920195679,0.00036671036334834985,8.453287511736482e-07,0.00037244722063659063,0.00037132241874432214,1.1248018922685068e-06,0.001,1908.7210838794708
35,0.00036741647440626717,0.00036661129998609904,8.051744201681116e-07,0.0003717394510307644,0.00037058838348411305,1.1510675466513333e-06,0.001,1965.1776475906372
